Country,Years 0.0-1.5,Years 2.0-4.5,Years 5.0-9.5,Years 10.0-14.5,Years 15.0-20.0,Total Cost (US$)
US,7200,7600,2500,900,900,19100
WO,4500,4600,0,0,0,9100
EP,4000,7080,5000,500,500,17080
KR,5200,8000,1100,500,500,15300
JP,5200,8000,1100,500,500,15300
ID,5200,8000,1100,500,500,15300
VN,250,350,500,500,500,2100
BR,2500,4200,1000,500,500,8700
CN,5200,8000,1100,500,500,15300
RU,5200,8000,1100,500,500,15300
NO,250,350,500,500,500,2100
TH,250,350,500,500,500,2100
TR,250,350,500,500,500,2100
TW,250,350,500,500,500,2100
DE,6000,750,300,300,400,7750
AT,6000,750,300,300,400,7750
CZ,6000,750,300,300,400,7750
AR,250,350,500,500,500,2100
HU,6000,750,300,300,400,7750
NL,6000,750,300,300,400,7750
FI,6000,750,300,300,400,7750
MX,250,350,500,500,500,2100
MA,250,350,500,500,500,2100
SK,6000,750,300,300,400,7750
SA,250,350,500,500,500,2100
PL,6000,750,300,300,400,7750
HK,250,350,500,500,500,2100
IT,6000,750,300,300,400,7750
DK,6000,750,300,300,400,7750
PH,250,350,500,500,500,2100
PE,250,350,500,500,500,2100
SE,6000,750,300,300,400,7750
CO,250,350,500,500,500,2100
MY,250,350,500,500,500,2100
ES,6000,750,300,300,400,7750
PT,6000,750,300,300,400,7750
FR,6000,750,300,300,400,7750
AU,250,350,500,500,500,2100
SG,250,350,500,500,500,2100
EG,250,350,500,500,500,2100
GR,6000,750,300,300,400,7750
IL,250,350,500,500,500,2100
CA,2500,4200,1000,500,500,8700
VE,250,350,500,500,500,2100
PK,250,350,500,500,500,2100
IN,5200,8000,1100,500,500,15300
GB,6000,750,300,300,400,7750
IE,6000,750,300,300,400,7750
CH,250,350,500,500,500,2100
BE,6000,750,300,300,400,7750
CL,250,350,500,500,500,2100
BD,250,350,500,500,500,2100
LU,6000,750,300,300,400,7750
NZ,250,350,500,500,500,2100
ZA,250,350,500,500,500,2100
